N Np Nc Runtime
1 1 1 37.225643
1 1 1 36.179066
1 1 1 36.158741
1 1 1 36.868624
1 1 1 36.879134
1 1 1 37.066859
1 1 1 36.123379
1 1 1 38.574059
1 1 1 38.572231
1 1 1 39.341211
1 1 2 39.515437
1 1 2 39.087738
1 1 2 39.339281
1 1 2 38.835308
1 1 2 39.960847
1 1 2 39.004615
1 1 2 37.481610
1 1 2 38.812143
1 1 2 40.375499
1 1 2 38.145713
1 1 4 39.454861
1 1 4 38.513776
1 1 4 38.887040
1 1 4 39.165866
1 1 4 39.678543
1 1 4 39.087869
1 1 4 38.083557
1 1 4 38.824448
1 1 4 38.135832
1 1 4 37.932000
1 1 8 38.764633
1 1 8 39.508890
1 1 8 40.160635
1 1 8 38.835483
1 1 8 38.513805
1 1 8 38.990976
1 1 8 39.491016
1 1 8 38.401791
1 1 8 38.888497
1 1 8 39.424259
1 2 1 38.898949
1 2 1 37.880737
1 2 1 39.134753
1 2 1 38.059406
1 2 1 37.871973
1 2 1 38.288342
1 2 1 39.541171
1 2 1 37.873329
1 2 1 38.295544
1 2 1 38.117322
1 4 1 37.608167
1 4 1 38.240255
1 4 1 38.001027
1 4 1 37.658741
1 4 1 38.077505
1 4 1 38.429051
1 4 1 38.533055
1 4 1 37.745885
1 4 1 38.479963
1 4 1 38.124937
1 8 1 38.702019
1 8 1 37.717974
1 8 1 38.050040
1 8 1 37.843004
1 8 1 37.349466
1 8 1 38.362755
1 8 1 39.446042
1 8 1 39.210430
1 8 1 38.321869
1 8 1 38.070918
10 1 1 36.814772
10 1 1 37.322868
10 1 1 36.738875
10 1 1 37.240741
10 1 1 36.275072
10 1 1 37.844091
10 1 1 37.236603
10 1 1 37.854024
10 1 1 36.855423
10 1 1 37.448815
10 1 2 37.219069
10 1 2 37.488915
10 1 2 37.229117
10 1 2 38.602635
10 1 2 38.050932
10 1 2 37.550193
10 1 2 36.962542
10 1 2 37.911011
10 1 2 37.922593
10 1 2 36.818460
10 1 4 38.683616
10 1 4 37.612179
10 1 4 37.698153
10 1 4 37.683180
10 1 4 38.167000
10 1 4 37.754560
10 1 4 37.135821
10 1 4 37.965712
10 1 4 37.313965
10 1 4 37.317985
10 1 8 40.686697
10 1 8 39.417920
10 1 8 39.785462
10 1 8 39.165536
10 1 8 39.158662
10 1 8 38.931064
10 1 8 39.439128
10 1 8 40.305589
10 1 8 39.242033
10 1 8 39.418338
10 2 1 36.013356
10 2 1 36.998960
10 2 1 37.162209
10 2 1 36.433511
10 2 1 37.686612
10 2 1 35.547760
10 2 1 37.150780
10 2 1 36.954245
10 2 1 37.211266
10 2 1 36.984335
10 4 1 37.535944
10 4 1 37.923124
10 4 1 38.028898
10 4 1 37.419507
10 4 1 39.607694
10 4 1 38.999623
10 4 1 37.238030
10 4 1 38.286431
10 4 1 37.745677
10 4 1 37.851240
10 8 1 37.476483
10 8 1 38.293591
10 8 1 39.149003
10 8 1 38.793837
10 8 1 39.707941
10 8 1 39.133669
10 8 1 39.214956
10 8 1 37.401763
10 8 1 36.751421
10 8 1 38.035291
100 1 1 36.435468
100 1 1 37.912156
100 1 1 36.339095
100 1 1 37.940191
100 1 1 36.146786
100 1 1 35.529651
100 1 1 36.959079
100 1 1 36.434781
100 1 1 37.186016
100 1 1 35.615008
100 1 2 36.713308
100 1 2 37.300118
100 1 2 37.177515
100 1 2 37.068654
100 1 2 36.845814
100 1 2 36.349416
100 1 2 37.084557
100 1 2 37.000110
100 1 2 36.597260
100 1 2 37.109198
100 1 4 36.693378
100 1 4 35.447575
100 1 4 36.659449
100 1 4 37.014995
100 1 4 36.543198
100 1 4 37.376264
100 1 4 37.404257
100 1 4 37.119691
100 1 4 37.046991
100 1 4 36.850585
100 1 8 38.365330
100 1 8 38.484517
100 1 8 38.908431
100 1 8 38.586791
100 1 8 38.428329
100 1 8 37.805975
100 1 8 38.924031
100 1 8 39.205019
100 1 8 38.464138
100 1 8 38.852514
100 2 1 37.529469
100 2 1 36.096311
100 2 1 36.316502
100 2 1 35.794632
100 2 1 36.663982
100 2 1 36.330335
100 2 1 35.085325
100 2 1 35.948872
100 2 1 36.829270
100 2 1 35.844812
100 4 1 35.739122
100 4 1 35.987318
100 4 1 36.881884
100 4 1 36.071540
100 4 1 35.717721
100 4 1 35.807497
100 4 1 34.946851
100 4 1 36.164203
100 4 1 35.948627
100 4 1 36.492091
100 8 1 37.171116
100 8 1 35.280577
100 8 1 35.725009
100 8 1 36.484357
100 8 1 35.793838
100 8 1 35.658190
100 8 1 36.656209
100 8 1 36.719921
100 8 1 37.636386
100 8 1 37.195227
1000 1 1 36.712465
1000 1 1 37.382055
1000 1 1 36.757438
1000 1 1 35.099805
1000 1 1 36.412286
1000 1 1 37.206095
1000 1 1 36.626377
1000 1 1 35.562918
1000 1 1 37.607507
1000 1 1 36.507083
1000 1 2 37.645224
1000 1 2 36.280716
