N K Runtime
10000000 1 0.013060
10000000 1 0.013653
10000000 1 0.013035
10000000 1 0.013124
10000000 1 0.013081
10000000 1 0.013081
10000000 1 0.013047
10000000 1 0.013050
10000000 1 0.013073
10000000 1 0.013041
100000000 1 0.137263
100000000 1 0.134510
100000000 1 0.135016
100000000 1 0.132968
100000000 1 0.139916
100000000 1 0.134996
100000000 1 0.133586
100000000 1 0.135723
100000000 1 0.132810
100000000 1 0.136512
1000000000 1 1.330972
1000000000 1 1.328883
1000000000 1 1.351756
1000000000 1 1.328404
1000000000 1 1.336618
1000000000 1 1.352802
1000000000 1 1.356575
1000000000 1 1.362112
1000000000 1 1.339106
1000000000 1 1.331078
10000000 2 0.007179
10000000 2 0.007036
10000000 2 0.006864
10000000 2 0.006795
10000000 2 0.006764
10000000 2 0.006813
10000000 2 0.006930
10000000 2 0.006883
10000000 2 0.006799
10000000 2 0.007159
100000000 2 0.071103
100000000 2 0.067763
100000000 2 0.068185
100000000 2 0.067904
100000000 2 0.070560
100000000 2 0.068450
100000000 2 0.069341
100000000 2 0.068996
100000000 2 0.070664
100000000 2 0.069943
1000000000 2 0.738568
1000000000 2 0.690919
1000000000 2 0.686788
1000000000 2 0.721519
1000000000 2 0.692001
1000000000 2 0.689331
1000000000 2 0.726523
1000000000 2 0.690378
1000000000 2 0.687456
1000000000 2 0.732940
10000000 4 0.003602
10000000 4 0.004133
10000000 4 0.003561
10000000 4 0.004854
10000000 4 0.003713
10000000 4 0.003740
10000000 4 0.003588
10000000 4 0.003632
10000000 4 0.003583
10000000 4 0.003662
100000000 4 0.036715
100000000 4 0.037076
100000000 4 0.038078
100000000 4 0.057007
100000000 4 0.037856
100000000 4 0.035346
100000000 4 0.036691
100000000 4 0.036454
100000000 4 0.036395
100000000 4 0.036481
1000000000 4 0.361298
1000000000 4 0.422055
1000000000 4 0.362548
1000000000 4 0.362424
1000000000 4 0.361730
1000000000 4 0.364325
1000000000 4 0.428925
1000000000 4 0.357843
1000000000 4 0.359643
1000000000 4 0.362917
10000000 8 0.003403
10000000 8 0.003381
10000000 8 0.003262
10000000 8 0.003773
10000000 8 0.003300
10000000 8 0.003348
10000000 8 0.003228
10000000 8 0.003246
10000000 8 0.003501
10000000 8 0.003187
100000000 8 0.028674
100000000 8 0.029106
100000000 8 0.028543
100000000 8 0.028739
100000000 8 0.028846
100000000 8 0.028303
100000000 8 0.028754
100000000 8 0.029561
100000000 8 0.029636
100000000 8 0.028793
1000000000 8 0.278195
1000000000 8 0.271030
1000000000 8 0.278683
1000000000 8 0.277536
1000000000 8 0.273985
1000000000 8 0.272064
1000000000 8 0.272217
1000000000 8 0.281814
1000000000 8 0.272284
1000000000 8 0.334947
10000000 16 0.004398
10000000 16 0.003966
10000000 16 0.004508
10000000 16 0.003529
10000000 16 0.003530
10000000 16 0.004130
10000000 16 0.004130
10000000 16 0.004952
10000000 16 0.003940
10000000 16 0.004457
100000000 16 0.031792
100000000 16 0.030869
100000000 16 0.032427
100000000 16 0.033704
100000000 16 0.035780
100000000 16 0.033001
100000000 16 0.031678
100000000 16 0.030354
100000000 16 0.031154
100000000 16 0.032436
1000000000 16 0.295466
1000000000 16 0.287874
1000000000 16 0.318135
1000000000 16 0.296719
1000000000 16 0.292286
1000000000 16 0.290192
1000000000 16 0.304709
1000000000 16 0.286996
1000000000 16 0.293573
1000000000 16 0.297469
10000000 32 0.003151
10000000 32 0.004020
10000000 32 0.003350
10000000 32 0.003143
10000000 32 0.003373
10000000 32 0.003148
10000000 32 0.003404
10000000 32 0.003107
10000000 32 0.003189
10000000 32 0.003370
100000000 32 0.031107
100000000 32 0.029945
100000000 32 0.030698
100000000 32 0.029024
100000000 32 0.030125
100000000 32 0.030534
100000000 32 0.029322
100000000 32 0.029600
100000000 32 0.029548
100000000 32 0.029813
1000000000 32 0.276505
1000000000 32 0.274701
1000000000 32 0.279364
1000000000 32 0.295140
1000000000 32 0.287041
1000000000 32 0.345084
1000000000 32 0.279261
1000000000 32 0.275037
1000000000 32 0.274162
1000000000 32 0.306722
10000000 64 0.005191
10000000 64 0.003469
10000000 64 0.003533
10000000 64 0.003760
10000000 64 0.003687
10000000 64 0.004679
10000000 64 0.003475
10000000 64 0.003534
10000000 64 0.003721
10000000 64 0.003465
100000000 64 0.037274
100000000 64 0.028074
100000000 64 0.029483
100000000 64 0.031089
100000000 64 0.030700
100000000 64 0.029510
100000000 64 0.029691
100000000 64 0.029768
100000000 64 0.029751
100000000 64 0.030659
1000000000 64 0.288638
1000000000 64 0.289117
1000000000 64 0.324804
1000000000 64 0.275471
1000000000 64 0.310651
1000000000 64 0.282756
1000000000 64 0.273583
1000000000 64 0.285384
1000000000 64 0.296868
1000000000 64 0.300674
10000000 128 0.005509
10000000 128 0.005407
10000000 128 0.007725
10000000 128 0.006486
10000000 128 0.005762
10000000 128 0.006698
10000000 128 0.005401
10000000 128 0.005934
10000000 128 0.006763
10000000 128 0.006625
100000000 128 0.079393
100000000 128 0.030461
100000000 128 0.032021
100000000 128 0.029620
100000000 128 0.035570
100000000 128 0.030524
100000000 128 0.031030
100000000 128 0.029223
100000000 128 0.029530
100000000 128 0.030095
1000000000 128 0.281620
1000000000 128 0.274824
1000000000 128 0.291388
1000000000 128 0.283809
1000000000 128 0.283285
1000000000 128 0.285076
1000000000 128 0.288227
1000000000 128 0.281561
1000000000 128 0.284055
1000000000 128 0.291256
10000000 256 0.014060
10000000 256 0.013606
10000000 256 0.017254
10000000 256 0.012968
10000000 256 0.015327
10000000 256 0.012344
10000000 256 0.013775
10000000 256 0.014709
10000000 256 0.012863
10000000 256 0.012265
100000000 256 0.033577
100000000 256 0.032288
100000000 256 0.031844
100000000 256 0.030742
100000000 256 0.035605
