N K Runtime
100000000 1 0.137263
100000000 1 0.134510
100000000 1 0.135016
100000000 1 0.132968
100000000 1 0.139916
100000000 1 0.134996
100000000 1 0.133586
100000000 1 0.135723
100000000 1 0.132810
100000000 1 0.136512
100000000 2 0.071103
100000000 2 0.067763
100000000 2 0.068185
100000000 2 0.067904
100000000 2 0.070560
100000000 2 0.068450
100000000 2 0.069341
100000000 2 0.068996
100000000 2 0.070664
100000000 2 0.069943
100000000 4 0.036715
100000000 4 0.037076
100000000 4 0.038078
100000000 4 0.057007
100000000 4 0.037856
100000000 4 0.035346
100000000 4 0.036691
100000000 4 0.036454
100000000 4 0.036395
100000000 4 0.036481
100000000 8 0.028674
100000000 8 0.029106
100000000 8 0.028543
100000000 8 0.028739
100000000 8 0.028846
100000000 8 0.028303
100000000 8 0.028754
100000000 8 0.029561
100000000 8 0.029636
100000000 8 0.028793
100000000 16 0.031792
100000000 16 0.030869
100000000 16 0.032427
100000000 16 0.033704
100000000 16 0.035780
100000000 16 0.033001
100000000 16 0.031678
100000000 16 0.030354
100000000 16 0.031154
100000000 16 0.032436
100000000 32 0.031107
100000000 32 0.029945
100000000 32 0.030698
100000000 32 0.029024
100000000 32 0.030125
100000000 32 0.030534
100000000 32 0.029322
100000000 32 0.029600
100000000 32 0.029548
100000000 32 0.029813
100000000 64 0.037274
100000000 64 0.028074
100000000 64 0.029483
100000000 64 0.031089
100000000 64 0.030700
100000000 64 0.029510
100000000 64 0.029691
100000000 64 0.029768
100000000 64 0.029751
100000000 64 0.030659
100000000 128 0.079393
100000000 128 0.030461
100000000 128 0.032021
100000000 128 0.029620
100000000 128 0.035570
100000000 128 0.030524
100000000 128 0.031030
100000000 128 0.029223
100000000 128 0.029530
100000000 128 0.030095
100000000 256 0.033577
100000000 256 0.032288
100000000 256 0.031844
100000000 256 0.030742
100000000 256 0.035605
100000000 256 0.033004
100000000 256 0.032950
100000000 256 0.032390
100000000 256 0.032802
100000000 256 0.033542
